Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 7-19-2020  8:46PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  VideopacSDCart.ngd
output file: VideopacSDCart_pad.csv
Part type:   xc95144xl
Speed grade: -10
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P60,BUSD<2>,I/O,I/O,BIDIR,,,,,,,,,
P61,BUSWR,I,I/O,INPUT,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,BUSD<1>,I/O,I/O,BIDIR,,,,,,,,,
P64,BUSD<0>,I/O,I/O,BIDIR,,,,,,,,,
P65,T0,I,I/O,INPUT,,,,,,,,,
P66,ARDD<7>,I/O,I/O,BIDIR,,,,,,,,,
P67,ARDD<6>,I/O,I/O,BIDIR,,,,,,,,,
P68,ARDD<5>,I/O,I/O,BIDIR,,,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,ARDD<4>,I/O,I/O,BIDIR,,,,,,,,,
P71,ARDD<3>,I/O,I/O,BIDIR,,,,,,,,,
P72,ARDD<2>,I/O,I/O,BIDIR,,,,,,,,,
P73,ARDD<1>,I/O,I/O,BIDIR,,,,,,,,,
P74,ARDD<0>,I/O,I/O,BIDIR,,,,,,,,,
P75,GND,,GND,,,,,,,,,,
P76,PAGEMODE<0>,I,I/O,INPUT,,,,,,,,,
P77,PAGEMODE<1>,I,I/O,INPUT,,,,,,,,,
P78,PAGEMODE<2>,I,I/O,INPUT,,,,,,,,,
P79,ARDWE,I,I/O,INPUT,,,,,,,,,
P80,ARDOE,I,I/O,INPUT,,,,,,,,,
P81,ARDA<14>,I,I/O,INPUT,,,,,,,,,
P82,ARDA<13>,I,I/O,INPUT,,,,,,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P85,ARDA<12>,I,I/O,INPUT,,,,,,,,,
P86,ARDA<11>,I,I/O,INPUT,,,,,,,,,
P87,ARDA<10>,I,I/O,INPUT,,,,,,,,,
P88,VCC,,VCCIO,,,,,,,,,,
P89,ARDA<9>,I,I/O,INPUT,,,,,,,,,
P90,ARDA<8>,I,I/O,INPUT,,,,,,,,,
P91,ARDA<7>,I,I/O,INPUT,,,,,,,,,
P92,ARDA<6>,I,I/O,INPUT,,,,,,,,,
P93,ARDA<5>,I,I/O,INPUT,,,,,,,,,
P94,ARDA<4>,I,I/O,INPUT,,,,,,,,,
P95,ARDA<3>,I,I/O,INPUT,,,,,,,,,
P96,ARDA<2>,I,I/O,INPUT,,,,,,,,,
P97,ARDA<1>,I,I/O,INPUT,,,,,,,,,
P98,VCC,,VCCINT,,,,,,,,,,
P99,ARDA<0>,I,I/O/GSR,INPUT,,,,,,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


